user_id,age,gender,country,device,session_duration,pages_viewed,previous_orders,traffic_source,experiment_group
36,51,Female,India,Mobile,2.12,3,1,Ads,B
37,22,Male,India,Mobile,2.22,2,0,Ads,A
38,48,Female,India,Mobile,5.88,6,4,Social,B
39,24,Female,India,Desktop,5.34,5,3,Ads,A
40,64,Female,UK,Desktop,2.48,1,1,Ads,A
41,39,Male,India,Mobile,7.89,2,2,Organic,A
42,34,Female,India,Desktop,2.09,3,2,Organic,B
43,18,Female,Brazil,Mobile,3.52,3,1,Organic,B
44,49,Female,India,Mobile,3.3,1,4,Organic,B
45,20,Female,India,Desktop,1.94,3,1,Organic,B
46,45,Male,USA,Mobile,3.32,3,2,Organic,B
47,60,Male,USA,Mobile,1.86,4,1,Ads,B
48,59,Female,India,Desktop,5.13,2,5,Organic,B
49,32,Female,India,Mobile,3.1,1,1,Ads,B
50,56,Male,USA,Mobile,2.51,3,0,Organic,B
51,57,Female,UK,Desktop,2.45,3,2,Ads,A
52,39,Male,India,Desktop,3.33,2,2,Ads,B
53,36,Male,India,Desktop,0.94,4,3,Ads,B
54,45,Female,India,Tablet,3.93,3,6,Ads,B
55,35,Female,USA,Mobile,2.35,4,1,Ads,A
56,62,Female,Brazil,Mobile,1.68,3,2,Organic,B
57,28,Male,USA,Other,1.96,1,1,Organic,B
58,30,Male,USA,Mobile,3.2,3,1,Ads,B
59,56,Male,India,Other,1.93,2,1,Ads,B
60,45,Female,India,Mobile,2.25,2,0,Organic,B
61,19,Male,India,Mobile,6.45,4,1,Ads,A
62,62,Male,India,Mobile,1.77,2,3,Organic,A
63,52,Female,India,Mobile,1.2,5,3,Email,A
64,47,Female,India,Mobile,2.21,3,3,Ads,A
65,45,Female,India,Mobile,1.76,1,1,Ads,A
66,56,Male,India,Mobile,4.85,5,2,Email,B
67,50,Female,Brazil,Other,1.8,6,3,Ads,B
68,48,Male,India,Mobile,1.48,3,2,Organic,A
69,48,Female,India,Desktop,4.43,1,0,Organic,B
70,27,Female,India,Mobile,2.12,1,3,Ads,A
71,61,Male,USA,Desktop,5.56,2,3,Organic,B
72,35,Male,USA,Mobile,2.08,2,1,Organic,A
73,48,Female,India,Mobile,1.08,3,0,Email,B
74,18,Female,UK,Other,1.49,3,1,Organic,B
75,43,Female,India,Mobile,0.75,6,4,Organic,B
76,32,Male,Germany,Tablet,0.7,2,2,Organic,B
77,24,Female,India,Mobile,2.7,3,1,Ads,B
78,64,Male,India,Mobile,3.79,16,1,Email,A
79,37,Male,USA,Mobile,4.87,2,3,Ads,B
80,38,Female,USA,Desktop,2.99,3,2,Ads,A
81,57,Male,India,Mobile,4.35,2,3,Social,A
82,29,Male,UK,Desktop,2.08,5,2,Organic,B
83,39,Female,India,Tablet,3.49,6,1,Email,B
84,26,Male,India,Desktop,1.04,3,4,Organic,A
85,30,Female,UK,Mobile,2.16,2,5,Ads,B
86,52,Female,USA,Mobile,4.9,4,0,Email,A
87,28,Male,India,Mobile,2.05,3,2,Organic,B
88,31,Female,India,Mobile,2.43,6,0,Ads,A
89,48,Male,India,Other,5.04,6,3,Ads,A
90,20,Male,India,Desktop,3.24,6,4,Ads,B
91,60,Male,UK,Tablet,1.27,2,4,Organic,B
92,53,Male,India,Mobile,4.57,1,1,Social,B
93,40,Male,India,Mobile,5.02,2,0,Email,B
94,39,Female,India,Mobile,1.65,3,3,Organic,B
95,32,Female,Brazil,Mobile,5.23,2,2,Organic,A
96,63,Male,India,Mobile,3.04,1,1,Organic,B
97,48,Female,India,Mobile,2.83,3,2,Ads,A
98,62,Male,UK,Desktop,1.26,3,1,Organic,B
99,31,Female,USA,Mobile,4.27,9,2,Organic,B
100,47,Female,Germany,Mobile,3.7,1,3,Organic,B
101,62,Female,USA,Mobile,4.04,4,1,Social,A
102,41,Male,USA,Mobile,3.68,12,0,Social,A
103,36,Male,USA,Mobile,2.98,2,2,Ads,A
104,24,Female,USA,Mobile,2.05,1,2,Ads,A
105,62,Female,India,Desktop,4.77,1,2,Organic,A
106,64,Male,India,Mobile,1.01,5,0,Ads,B
107,35,Male,USA,Desktop,5.29,2,2,Organic,A
108,28,Male,UK,Desktop,3.0,4,4,Organic,B
109,42,Female,India,Mobile,1.5,5,3,Email,A
110,56,Female,Brazil,Other,1.86,2,2,Ads,A
111,47,Male,India,Mobile,2.18,2,0,Ads,B
112,29,Male,India,Tablet,5.69,1,1,Email,B
113,38,Male,UK,Mobile,2.45,1,2,Email,B
114,27,Female,Germany,Mobile,3.74,1,0,Organic,B
115,51,Female,UK,Desktop,5.69,4,4,Social,A
116,42,Female,India,Mobile,3.49,3,2,Email,B
117,62,Female,Germany,Mobile,2.05,3,0,Email,A
118,40,Male,India,Tablet,2.48,2,1,Organic,B
119,28,Male,India,Mobile,1.64,3,4,Email,B
120,50,Female,India,Mobile,2.32,3,0,Organic,A
121,54,Female,India,Desktop,1.47,1,1,Organic,A
122,38,Female,UK,Mobile,1.61,2,4,Organic,B
123,49,Female,USA,Mobile,3.45,4,2,Ads,A
124,39,Female,USA,Mobile,1.82,5,3,Email,B
125,34,Female,India,Mobile,2.72,4,2,Organic,A
126,61,Male,USA,Mobile,1.47,1,2,Organic,A
127,53,Female,India,Mobile,5.01,1,1,Organic,B
128,45,Female,India,Mobile,2.88,1,3,Ads,A
129,60,Male,USA,Mobile,5.21,2,2,Ads,B
130,64,Male,India,Desktop,2.5,3,2,Ads,B
131,61,Female,USA,Mobile,1.75,3,2,Organic,B
132,64,Male,USA,Tablet,1.98,6,1,Organic,A
133,34,Female,UK,Tablet,2.41,2,3,Organic,A
134,31,Female,Brazil,Mobile,3.17,4,0,Ads,B
135,44,Female,USA,Tablet,2.25,5,1,Email,B
136,24,Female,USA,Mobile,3.05,3,2,Ads,A
137,48,Female,USA,Mobile,1.95,4,1,Ads,B
138,64,Male,UK,Other,2.25,3,4,Organic,B
139,29,Female,USA,Mobile,5.58,2,3,Organic,A
140,19,Male,India,Tablet,2.1,5,3,Ads,B
141,64,Male,USA,Mobile,1.6,2,1,Organic,B
142,39,Female,India,Other,3.98,4,1,Email,A
143,25,Female,India,Other,0.7,2,2,Ads,B
144,33,Female,India,Mobile,6.09,2,1,Ads,B
145,42,Male,India,Tablet,2.51,4,4,Organic,A
146,20,Male,India,Mobile,2.85,1,2,Organic,A
147,47,Male,USA,Desktop,1.82,2,3,Organic,B
148,62,Male,USA,Desktop,3.77,2,2,Ads,B
149,36,Male,India,Tablet,1.91,1,2,Ads,B
150,46,Female,India,Desktop,3.13,2,2,Organic,A
151,22,Female,India,Other,4.2,3,0,Organic,A
152,37,Female,India,Mobile,4.56,1,3,Organic,B
153,50,Male,India,Tablet,3.49,4,7,Organic,A
154,18,Female,USA,Mobile,2.35,5,2,Organic,A
155,49,Female,USA,Mobile,9.02,5,3,Ads,B
156,46,Male,India,Mobile,1.98,2,1,Email,B
157,55,Female,India,Desktop,2.9,2,1,Ads,A
158,40,Male,India,Mobile,1.14,1,2,Ads,A
159,27,Male,USA,Desktop,2.3,1,1,Organic,A
160,29,Female,Brazil,Desktop,2.23,5,4,Email,A
161,52,Male,India,Mobile,2.38,3,0,Ads,B
162,64,Male,India,Mobile,2.07,2,2,Ads,B
163,26,Female,India,Mobile,2.95,2,1,Ads,A
164,28,Female,USA,Mobile,5.16,4,1,Organic,A
165,28,Male,India,Mobile,1.06,5,3,Organic,B
166,55,Male,USA,Mobile,7.11,5,3,Ads,B
167,21,Female,India,Mobile,3.42,4,4,Ads,A
168,36,Female,India,Desktop,3.08,3,1,Organic,A
169,38,Female,India,Mobile,1.81,3,0,Email,A
170,23,Male,UK,Desktop,3.75,1,3,Organic,A
171,40,Female,USA,Mobile,2.35,5,4,Organic,A
172,61,Female,India,Mobile,4.49,3,2,Organic,B
173,56,Male,USA,Other,4.83,6,0,Organic,A
174,24,Female,UK,Mobile,2.28,3,0,Social,B
175,62,Female,UK,Other,1.77,1,3,Ads,B
176,53,Male,India,Mobile,1.8,4,0,Ads,A
177,56,Female,Brazil,Other,2.45,11,0,Organic,A
178,32,Male,UK,Mobile,4.13,2,1,Ads,A
179,26,Female,USA,Mobile,2.57,1,2,Ads,B
180,64,Female,India,Mobile,1.17,17,3,Social,A
181,39,Female,USA,Desktop,1.24,2,5,Organic,A
182,28,Male,USA,Desktop,2.67,3,2,Ads,B
183,52,Male,Germany,Mobile,3.66,4,1,Ads,A
184,34,Female,India,Mobile,1.97,5,0,Email,A
185,26,Male,USA,Mobile,1.36,4,6,Ads,A
186,51,Female,USA,Mobile,4.33,1,1,Organic,A
187,63,Female,India,Mobile,0.94,1,1,Organic,A
188,36,Male,India,Mobile,4.72,4,1,Organic,A
189,57,Female,India,Mobile,5.03,2,1,Ads,B
190,47,Female,India,Tablet,4.91,3,1,Organic,B
191,39,Female,India,Mobile,3.64,4,2,Organic,B
192,43,Male,India,Tablet,3.7,6,0,Organic,A
193,47,Female,India,Mobile,4.25,3,1,Organic,B
194,29,Female,India,Desktop,3.64,4,1,Email,B
195,53,Female,USA,Mobile,1.52,3,4,Organic,A
196,24,Female,USA,Tablet,2.78,8,1,Organic,B
197,58,Female,India,Mobile,1.83,1,1,Ads,A
198,19,Female,USA,Other,3.92,2,1,Social,B
199,38,Male,Brazil,Desktop,2.5,2,2,Ads,B
200,44,Female,India,Tablet,1.53,4,3,Ads,B
201,18,Female,India,Mobile,5.07,2,1,Ads,A
202,31,Male,Brazil,Mobile,8.07,1,2,Organic,A
203,19,Female,USA,Mobile,1.8,2,2,Social,B
204,40,Female,India,Desktop,1.69,2,5,Organic,B
205,43,Male,UK,Desktop,1.46,1,2,Organic,B
206,42,Female,India,Desktop,1.13,2,1,Organic,B
207,32,Female,India,Desktop,3.38,3,1,Ads,B
208,46,Male,USA,Tablet,3.17,1,1,Organic,B
209,45,Female,Germany,Other,1.76,3,2,Organic,A
210,56,Female,India,Desktop,3.24,3,1,Organic,B
211,21,Male,India,Mobile,1.53,4,3,Email,A
212,47,Female,USA,Mobile,3.89,5,0,Organic,B
213,64,Female,USA,Other,5.01,3,2,Organic,B
214,27,Female,USA,Desktop,3.51,3,0,Organic,B
215,59,Female,India,Desktop,3.15,4,2,Ads,B
216,27,Male,USA,Desktop,2.41,2,4,Organic,A
217,39,Female,India,Mobile,3.85,3,1,Email,A
218,33,Female,USA,Desktop,7.46,2,1,Organic,A
219,56,Female,India,Mobile,2.96,1,3,Ads,A
220,57,Female,USA,Mobile,1.99,2,4,Ads,A
221,60,Female,UK,Mobile,2.06,2,5,Organic,A
222,30,Female,USA,Mobile,2.64,6,2,Organic,A
223,56,Male,USA,Tablet,4.12,4,2,Organic,A
224,47,Female,India,Mobile,5.15,1,2,Ads,A
225,30,Female,USA,Mobile,3.02,2,2,Email,A
226,59,Female,UK,Desktop,3.2,3,1,Organic,B
227,43,Male,UK,Other,2.32,4,1,Ads,A
228,48,Female,USA,Other,3.12,2,1,Social,B
229,56,Female,Brazil,Mobile,2.61,2,3,Email,B
230,44,Male,India,Other,2.88,2,3,Organic,A
231,21,Male,USA,Desktop,1.89,2,2,Email,A
232,29,Male,India,Mobile,2.09,7,1,Organic,A
233,52,Male,UK,Other,4.22,5,3,Organic,B
234,56,Female,USA,Desktop,1.36,2,5,Ads,B
235,18,Female,UK,Desktop,3.09,4,2,Ads,A
236,33,Female,India,Other,3.77,3,2,Ads,B
237,39,Female,India,Mobile,1.99,3,2,Social,B
238,62,Female,India,Mobile,1.57,1,3,Ads,A
239,53,Female,Germany,Mobile,1.43,3,3,Ads,B
240,51,Female,USA,Mobile,2.73,2,3,Ads,B
241,39,Female,India,Mobile,4.49,2,2,Ads,B
242,31,Male,India,Mobile,4.18,2,1,Ads,A
243,20,Male,India,Other,9.03,1,2,Email,B
244,55,Male,India,Mobile,3.95,11,3,Ads,B
245,30,Female,India,Desktop,1.74,5,2,Ads,A
246,19,Female,India,Mobile,1.64,5,2,Organic,A
247,61,Male,USA,Desktop,2.89,3,3,Organic,B
248,57,Male,India,Other,1.43,1,1,Organic,B
249,26,Female,India,Mobile,1.43,4,1,Ads,B
250,59,Female,UK,Mobile,1.9,3,2,Ads,A
251,52,Female,India,Mobile,2.8,2,3,Organic,A
252,59,Female,Brazil,Mobile,1.98,3,1,Organic,A
253,44,Female,USA,Other,3.0,4,4,Organic,A
254,37,Female,India,Mobile,2.26,3,1,Email,B
255,38,Female,India,Mobile,1.15,3,3,Ads,A
256,23,Male,USA,Desktop,5.03,5,0,Email,A
257,46,Female,UK,Other,4.61,1,4,Ads,A
258,39,Female,USA,Mobile,6.32,4,1,Email,A
259,52,Male,USA,Desktop,3.95,6,2,Email,A
260,54,Male,Germany,Desktop,2.74,2,4,Ads,B
261,40,Male,USA,Mobile,2.38,2,3,Social,A
262,46,Female,India,Mobile,4.63,4,3,Social,A
263,57,Female,India,Desktop,2.62,2,1,Organic,A
264,44,Female,USA,Desktop,3.54,7,0,Social,B
265,32,Male,UK,Mobile,2.0,3,0,Email,A
266,52,Female,India,Tablet,3.33,3,0,Ads,A
267,44,Female,USA,Mobile,3.88,4,3,Social,B
268,29,Male,India,Mobile,3.42,2,2,Email,A
269,63,Male,Germany,Mobile,2.5,4,2,Email,A
270,58,Female,India,Mobile,2.33,3,0,Organic,B
271,25,Female,India,Mobile,4.2,3,4,Ads,A
272,51,Male,India,Desktop,3.31,7,1,Organic,B
273,33,Female,India,Mobile,2.65,4,1,Organic,A
274,53,Female,USA,Mobile,4.35,4,2,Organic,A
275,34,Female,UK,Mobile,1.65,3,4,Organic,B
276,42,Female,India,Mobile,1.33,5,3,Ads,B
277,63,Female,USA,Mobile,6.29,1,4,Ads,B
278,43,Male,India,Mobile,1.17,3,2,Social,A
279,64,Female,USA,Other,4.84,2,2,Social,B
280,34,Female,USA,Desktop,4.38,4,2,Ads,A
281,55,Female,Brazil,Mobile,4.35,3,1,Ads,A
282,55,Female,UK,Mobile,3.51,2,2,Ads,A
283,62,Female,India,Other,3.13,2,1,Organic,A
284,29,Female,UK,Mobile,2.36,4,3,Email,B
285,30,Male,India,Desktop,4.59,2,1,Organic,A
286,23,Female,India,Desktop,2.25,2,3,Organic,B
287,26,Male,India,Mobile,1.23,3,4,Ads,A
288,63,Female,India,Mobile,2.11,1,2,Email,B
289,39,Female,India,Mobile,2.13,4,3,Email,A
290,20,Female,USA,Mobile,3.76,4,4,Ads,B
291,43,Female,USA,Mobile,3.22,2,1,Email,A
292,51,Male,India,Mobile,1.12,14,1,Ads,A
293,21,Female,USA,Desktop,0.92,4,1,Organic,A
294,19,Male,India,Mobile,3.29,3,2,Organic,A
295,53,Female,UK,Desktop,1.38,4,0,Social,A
296,30,Male,India,Other,3.42,3,6,Organic,A
297,54,Male,India,Mobile,1.83,1,3,Email,B
298,26,Female,India,Mobile,1.44,2,4,Ads,B
299,25,Female,USA,Mobile,7.88,2,3,Organic,A
300,50,Male,Brazil,Desktop,2.35,2,0,Organic,A
301,47,Female,USA,Mobile,4.29,2,5,Social,B
302,50,Female,India,Mobile,0.88,1,4,Ads,A
303,34,Female,Germany,Desktop,3.17,3,3,Organic,A
304,52,Male,USA,Other,1.51,2,1,Ads,A
305,41,Male,UK,Mobile,4.09,4,1,Email,A
306,62,Male,India,Desktop,1.92,3,2,Ads,B
307,39,Female,India,Mobile,1.51,3,2,Organic,B
308,21,Female,India,Tablet,1.48,1,3,Ads,A
309,26,Male,Germany,Mobile,3.7,2,0,Organic,B
310,20,Female,India,Mobile,1.24,2,1,Organic,B
311,33,Male,USA,Desktop,1.79,4,2,Organic,B
312,55,Female,India,Mobile,4.52,2,1,Organic,A
313,24,Female,USA,Desktop,3.53,3,2,Organic,A
314,37,Female,UK,Desktop,5.0,3,3,Email,B
315,62,Female,India,Other,2.43,4,3,Ads,A
316,35,Male,India,Mobile,5.84,5,3,Organic,B
317,49,Female,India,Mobile,2.16,1,3,Ads,B
318,28,Female,India,Mobile,4.08,3,1,Organic,A
319,47,Female,UK,Other,1.99,2,3,Ads,A
320,41,Female,UK,Mobile,1.58,10,2,Email,B
321,44,Female,USA,Mobile,2.4,2,0,Ads,A
322,48,Male,India,Other,3.03,2,1,Organic,A
323,23,Female,India,Mobile,1.13,3,2,Ads,A
324,44,Male,India,Desktop,3.11,3,3,Ads,B
325,32,Female,UK,Mobile,2.05,1,1,Ads,B
326,30,Male,India,Tablet,3.68,2,4,Organic,A
327,24,Male,UK,Mobile,2.44,5,1,Ads,B
328,56,Female,India,Mobile,3.64,4,4,Ads,B
329,49,Male,India,Mobile,3.46,1,4,Ads,A
330,37,Female,Brazil,Tablet,2.95,2,2,Ads,A
331,29,Male,Germany,Desktop,2.52,1,1,Ads,B
332,64,Female,USA,Desktop,4.8,3,0,Organic,B
333,35,Female,India,Tablet,2.62,2,3,Email,A
334,63,Male,USA,Mobile,1.62,3,2,Organic,B
335,31,Male,Brazil,Desktop,1.44,5,5,Ads,B
336,35,Female,India,Mobile,3.7,1,2,Organic,B
337,38,Female,India,Desktop,3.21,3,0,Email,A
338,50,Female,Brazil,Desktop,5.17,3,1,Organic,A
339,64,Female,USA,Mobile,5.84,2,5,Email,B
340,60,Female,USA,Other,3.4,1,2,Social,B
341,47,Male,USA,Mobile,1.9,4,2,Organic,B
342,35,Male,India,Mobile,3.59,4,2,Social,A
343,20,Male,Germany,Mobile,4.63,3,1,Organic,B
344,49,Female,India,Other,1.37,1,2,Email,A
345,19,Male,UK,Mobile,2.28,2,3,Organic,A
346,28,Male,USA,Desktop,0.66,3,1,Social,B
347,19,Male,India,Mobile,3.57,6,3,Ads,A
348,48,Female,India,Mobile,5.91,3,0,Email,B
349,52,Male,USA,Desktop,3.97,4,4,Organic,A
350,46,Female,India,Other,1.18,3,2,Ads,B
351,46,Female,India,Mobile,1.59,3,1,Organic,A
352,50,Female,India,Mobile,2.9,6,2,Organic,A
353,20,Female,UK,Mobile,3.74,5,0,Email,A
354,18,Male,USA,Mobile,5.61,3,3,Organic,B
355,29,Male,India,Other,3.24,1,1,Email,B
356,22,Female,USA,Other,1.36,4,0,Ads,B
357,63,Male,Germany,Mobile,2.35,3,0,Ads,B
358,31,Female,Brazil,Mobile,2.23,4,0,Organic,B
359,61,Female,India,Mobile,3.01,2,3,Organic,B
360,64,Male,Germany,Mobile,3.84,2,1,Email,A
361,50,Male,India,Tablet,1.28,6,2,Ads,A
362,24,Female,India,Mobile,3.31,4,3,Organic,B
363,60,Female,USA,Mobile,1.3,7,3,Ads,B
364,54,Female,India,Mobile,2.86,3,0,Email,B
365,47,Female,USA,Mobile,5.95,2,0,Email,B
366,35,Female,India,Desktop,2.93,2,1,Ads,A
367,54,Male,India,Mobile,1.29,1,1,Organic,A
368,35,Female,USA,Mobile,4.22,1,2,Organic,A
369,53,Female,India,Mobile,1.66,4,2,Ads,B
370,27,Female,Germany,Tablet,5.31,4,0,Email,B
371,47,Female,UK,Mobile,1.9,5,2,Social,A
372,31,Female,UK,Desktop,1.46,3,3,Email,A
373,38,Male,USA,Mobile,6.48,5,0,Ads,B
374,40,Female,India,Mobile,2.69,2,2,Ads,B
375,64,Male,India,Mobile,2.29,3,2,Organic,A
376,38,Female,USA,Mobile,2.96,1,2,Organic,A
377,49,Female,India,Other,1.4,6,2,Organic,B
378,47,Male,India,Mobile,3.05,3,3,Email,B
379,49,Male,India,Mobile,3.4,3,2,Organic,B
380,58,Female,UK,Mobile,0.98,4,1,Email,A
381,58,Female,India,Mobile,4.68,3,1,Ads,B
382,29,Female,India,Mobile,1.96,16,0,Ads,B
383,35,Female,USA,Mobile,2.58,3,1,Email,A
384,55,Male,India,Desktop,2.17,3,0,Organic,A
385,64,Male,India,Mobile,4.93,3,3,Organic,B
386,39,Female,USA,Desktop,2.98,4,1,Ads,A
387,62,Female,India,Mobile,2.8,4,0,Email,B
388,56,Female,Brazil,Desktop,2.72,4,3,Ads,A
389,61,Female,USA,Mobile,3.16,7,3,Organic,B
390,21,Male,India,Mobile,4.09,10,4,Ads,B
391,57,Female,USA,Desktop,3.99,3,1,Ads,A
392,27,Male,India,Mobile,2.81,2,2,Organic,A
393,46,Female,India,Mobile,3.85,3,0,Organic,A
394,60,Male,USA,Desktop,3.19,4,3,Organic,B
395,33,Male,India,Desktop,0.92,4,1,Organic,A
396,51,Male,Germany,Desktop,1.14,3,1,Organic,B
397,36,Female,USA,Mobile,4.4,2,5,Organic,A
398,27,Female,India,Mobile,2.85,5,0,Email,B
399,29,Female,USA,Desktop,2.45,2,1,Social,A
400,25,Male,India,Mobile,1.87,3,2,Organic,A
401,32,Male,Germany,Mobile,3.99,3,0,Ads,A
402,52,Female,USA,Mobile,2.29,3,1,Organic,A
403,49,Female,Brazil,Mobile,0.87,1,3,Ads,A
404,42,Male,India,Mobile,0.94,5,2,Ads,A
405,39,Male,UK,Desktop,3.06,2,3,Organic,A
406,59,Female,India,Desktop,1.74,1,2,Ads,A
407,63,Female,India,Mobile,1.49,3,1,Social,B
408,61,Male,India,Tablet,2.58,3,2,Organic,B
409,33,Female,UK,Mobile,3.3,4,3,Ads,B
410,58,Female,Germany,Desktop,4.98,3,2,Organic,B
411,35,Male,India,Mobile,2.73,1,3,Ads,B
412,44,Male,UK,Mobile,3.89,3,3,Organic,A
413,37,Male,Brazil,Other,1.31,11,2,Social,A
414,62,Male,USA,Desktop,5.1,4,2,Organic,A
415,36,Female,India,Mobile,0.95,3,2,Ads,A
416,34,Female,Germany,Mobile,3.3,3,2,Social,A
417,48,Female,Germany,Mobile,1.94,1,0,Email,A
418,25,Male,India,Desktop,2.38,4,1,Social,B
419,18,Male,Brazil,Other,2.15,4,4,Ads,A
420,45,Female,India,Tablet,2.19,5,1,Organic,B
421,60,Female,India,Mobile,2.35,1,0,Ads,A
422,43,Male,USA,Mobile,6.26,5,4,Ads,A
423,18,Male,India,Mobile,4.71,1,1,Organic,B
424,46,Female,India,Mobile,3.68,3,1,Email,A
425,58,Male,USA,Tablet,2.33,2,4,Social,B
426,42,Female,USA,Desktop,3.17,3,3,Email,B
427,50,Female,USA,Other,1.93,3,1,Organic,B
428,27,Male,India,Mobile,3.23,1,4,Organic,B
429,52,Female,USA,Mobile,2.59,3,0,Organic,B
430,54,Female,Brazil,Mobile,3.48,5,2,Ads,B
431,34,Female,Germany,Desktop,2.16,2,1,Ads,B
432,31,Male,USA,Mobile,4.44,3,3,Organic,B
433,37,Male,UK,Desktop,2.79,4,0,Ads,A
434,33,Female,India,Desktop,2.47,1,2,Organic,B
435,21,Female,India,Desktop,3.98,3,0,Organic,A
436,35,Male,Brazil,Mobile,6.08,2,2,Ads,B
437,62,Male,USA,Mobile,2.74,6,4,Organic,B
438,56,Male,USA,Mobile,2.48,2,0,Ads,B
439,21,Female,India,Desktop,3.34,4,1,Organic,B
440,43,Female,India,Mobile,2.15,7,4,Organic,B
441,30,Female,India,Mobile,1.57,3,3,Ads,B
442,42,Female,USA,Mobile,1.95,2,2,Email,A
443,38,Female,UK,Tablet,5.17,6,2,Ads,A
444,30,Female,USA,Mobile,2.12,2,1,Organic,A
445,38,Female,India,Mobile,3.07,5,3,Organic,A
446,32,Female,USA,Mobile,1.18,3,2,Organic,A
447,48,Male,India,Desktop,1.56,1,1,Organic,A
448,22,Female,India,Mobile,4.62,2,3,Organic,A
449,38,Male,USA,Mobile,3.39,4,0,Organic,A
450,38,Female,India,Mobile,2.91,3,1,Ads,B
451,26,Female,UK,Mobile,1.42,4,3,Email,A
452,62,Male,India,Other,2.97,4,1,Email,A
453,26,Male,USA,Mobile,2.88,2,2,Organic,A
454,26,Female,India,Desktop,2.76,1,3,Organic,B
455,26,Male,India,Desktop,1.84,2,5,Email,B
456,31,Female,USA,Mobile,3.91,5,5,Ads,A
457,39,Male,India,Tablet,1.84,3,1,Social,A
458,21,Male,Brazil,Desktop,2.4,5,3,Ads,A
459,60,Female,UK,Mobile,0.97,4,2,Organic,B
460,47,Male,India,Tablet,2.64,3,2,Organic,B
461,29,Male,India,Mobile,1.52,4,0,Social,A
462,54,Female,USA,Mobile,2.98,3,3,Organic,B
463,46,Male,India,Other,2.78,3,4,Organic,A
464,33,Male,India,Mobile,2.72,3,2,Organic,B
465,32,Female,USA,Other,1.51,4,2,Ads,A
466,25,Male,India,Desktop,1.3,2,2,Ads,A
467,27,Male,India,Desktop,2.63,3,0,Email,B
468,32,Female,USA,Other,1.15,4,2,Ads,A
469,63,Female,India,Tablet,5.05,3,2,Ads,A
470,50,Female,Germany,Tablet,3.13,1,1,Email,B
471,25,Male,India,Mobile,4.14,12,5,Ads,B
472,58,Male,India,Mobile,4.39,3,1,Ads,A
473,45,Female,USA,Mobile,3.2,3,5,Social,B
474,30,Female,India,Mobile,2.61,2,3,Ads,B
475,38,Male,India,Mobile,2.57,1,2,Ads,A
476,58,Male,USA,Desktop,5.15,6,7,Organic,A
477,30,Female,USA,Tablet,2.06,3,0,Ads,B
478,50,Female,India,Desktop,2.53,2,1,Organic,A
479,39,Male,India,Desktop,1.68,3,2,Email,A
480,59,Female,India,Desktop,1.99,1,2,Email,A
481,32,Female,India,Desktop,2.17,3,3,Email,A
482,39,Female,India,Desktop,2.49,2,1,Ads,B
483,36,Female,USA,Tablet,2.52,4,2,Organic,A
484,63,Female,USA,Mobile,2.86,5,0,Email,A
485,29,Male,India,Desktop,3.15,3,1,Social,B
486,42,Male,India,Mobile,2.92,1,1,Email,A
487,43,Female,India,Other,5.75,3,0,Social,B
488,42,Female,Brazil,Mobile,2.65,7,3,Organic,B
489,44,Female,India,Other,2.8,4,1,Social,A
490,56,Female,India,Mobile,3.82,6,1,Email,A
491,46,Male,UK,Mobile,1.52,3,3,Email,B
492,47,Male,India,Desktop,2.43,4,1,Ads,B
493,38,Male,India,Other,3.27,4,2,Ads,A
